Site,Date,Keyword,Product_Id,Impression,Click,Spend,OrderQty,Revenue,CTR,CVR,CPC,CPA,ROAS,Total_ROAS,Brand_Type,Ad_Type,Group_Name,Price_Type,Sales_Type,Ad_Type_11st,Template_Type,Campaign_Id,Campaign,Group_Id,Display_Type,Target_Id,Ad_Id,Brand_Name,Product_Name,Sales_Product_Id,Sales_Option_Id,Store_Id,Planshop_Id,Keyword_Type,Keyword_Id,Display_Info,AvgRank,Total_OrderQty_1D,Total_SalesQty_1D,Total_Revenue_1D,Total_ROAS_1D,Direct_OrderQty_1D,Direct_SalesQty_1D,Direct_Revenue_1D,Direct_ROAS_1D,Indirect_OrderQty_1D,Indirect_SalesQty_1D,Indirect_Revenue_1D,Indirect_ROAS_1D,Total_OrderQty_2W,Total_SalesQty_2W,Total_Revenue_2W,Direct_SalesQty_2W,Indirect_OrderQty_2W,Indirect_SalesQty_2W,Indirect_Revenue_2W,Start_Campaign,End_Campaign
11번가,2021-10-31,설화수에센스,3705101488,28,1,231,0,0,0.03571428571428571,0.0,231.0,inf,0.0,0.0,럭셔리,포커스클릭,01_설화수_검색자동,,,,,117856,04_설화수_LX,487141,검색결과지면,14692016,,,,,,,,자동,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,윤조에센스,3705101488,55,2,451,0,0,0.03636363636363636,0.0,225.5,inf,0.0,0.0,럭셔리,포커스클릭,01_설화수_검색자동,,,,,117856,04_설화수_LX,487141,검색결과지면,14692016,,,,,,,,자동,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,설화수윤조에센스,3705101488,86,1,220,0,0,0.011627906976744186,0.0,220.0,inf,0.0,0.0,럭셔리,포커스클릭,01_설화수_검색자동,,,,,117856,04_설화수_LX,487141,검색결과지면,14692016,,,,,,,,자동,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,,3705101488,1044,3,451,0,0,0.0028735632183908046,0.0,150.33333333333334,inf,0.0,0.0,럭셔리,포커스클릭,03_설화수_유저자동,,,,,117856,04_설화수_LX,487195,유저개인화지면,14692024,,,,,,,,자동,,,5.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,,3636534337,216,1,99,0,0,0.004629629629629629,0.0,99.0,inf,0.0,0.0,럭셔리,포커스클릭,03_프리메라_유저자동_2,,,,,117858,06_프리메라_LX,661506,유저개인화지면,14692026,,프리메라,,,,,,자동,,,4.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,아이오페스킨,3495939020,25,1,110,0,0,0.04,0.0,110.0,inf,0.0,0.0,프리미엄,포커스클릭,02_아이오페_검색직접,,,,,112383,01_아이오페_PR,458363,검색결과지면,14692824,,아이오페,,,,,,수동,80903620.0,,6.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,마몽드트리플,2780108648,3,1,198,0,0,0.3333333333333333,0.0,198.0,inf,0.0,0.0,프리미엄,포커스클릭,02_마몽드_검색직접_2,,,,,117637,03_마몽드_PR,685332,검색결과지면,14713865,,,,,,,,수동,78296125.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,콜라겐크림,2780108648,33,1,869,0,0,0.030303030303030304,0.0,869.0,inf,0.0,0.0,프리미엄,포커스클릭,02_마몽드_검색직접_2,,,,,117637,03_마몽드_PR,685332,검색결과지면,14713865,,,,,,,,수동,81857472.0,,6.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,로션,2780108648,92,1,1419,0,0,0.010869565217391304,0.0,1419.0,inf,0.0,0.0,프리미엄,포커스클릭,02_마몽드_검색직접_2,,,,,117637,03_마몽드_PR,685332,검색결과지면,14713865,,,,,,,,수동,81856768.0,,6.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,마몽드코튼베일,2780108648,2,1,99,0,0,0.5,0.0,99.0,inf,0.0,0.0,프리미엄,포커스클릭,02_마몽드_검색직접_2,,,,,117637,03_마몽드_PR,685332,검색결과지면,14713865,,,,,,,,수동,78296061.0,,1.0,,,,,,,,,,,,,,,,,,,,,
